"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",10,16,0.443434,0.609773,0.603097,0.574041,0.643246,0.63324,0.525124
"adhoc6",20,16,0.742378,0.670863,0.672945,0.661031,0.69206,0.684889,0.645869
"adhoc6",30,16,0.679771,0.715326,0.71565,0.709513,0.730151,0.740117,0.71467
"adhoc6",40,16,0.767909,0.738257,0.741483,0.735465,0.750406,0.786849,0.762966
"adhoc6",50,16,0.728769,0.756863,0.761456,0.75838,0.768593,0.809971,0.793674
"adhoc6",60,16,0.828824,0.80109,0.803949,0.801629,0.809039,0.858111,0.861053
"adhoc6",70,16,0.742517,0.802891,0.804837,0.804187,0.809344,0.854689,0.856131
"adhoc6",80,16,0.855806,0.808518,0.812776,0.811676,0.816101,0.875376,0.862671
"adhoc6",90,16,0.859584,0.817899,0.822163,0.821044,0.825073,0.882964,0.87771
"adhoc6",100,16,0.868717,0.827459,0.830036,0.830312,0.833773,0.880491,0.875006
"adhoc6",10,17,0.669055,0.68167,0.671762,0.64204,0.711414,0.726237,0.656466
"adhoc6",20,17,0.730841,0.663177,0.663712,0.649886,0.681333,0.681199,0.595737
"adhoc6",30,17,0.702368,0.745052,0.751564,0.743171,0.761824,0.79406,0.763042
"adhoc6",40,17,0.73356,0.710351,0.711225,0.70831,0.720904,0.737566,0.715308
"adhoc6",50,17,0.84797,0.75054,0.756549,0.75314,0.763195,0.806492,0.780111
"adhoc6",60,17,0.749761,0.794547,0.798375,0.795071,0.803815,0.849409,0.844572
"adhoc6",70,17,0.735498,0.826121,0.826637,0.825609,0.829842,0.879136,0.876544
"adhoc6",80,17,0.819896,0.796612,0.799489,0.799816,0.804575,0.861509,0.840475
"adhoc6",90,17,0.864635,0.82935,0.830232,0.830737,0.833502,0.877868,0.878135
"adhoc6",100,17,0.847917,0.821708,0.825162,0.825219,0.828029,0.883502,0.880444
"adhoc6",10,18,0.671424,0.652277,0.643016,0.61203,0.684557,0.643462,0.593447
"adhoc6",20,18,0.638579,0.689216,0.69193,0.678306,0.71072,0.72991,0.663989
"adhoc6",30,18,0.681307,0.691557,0.690459,0.687492,0.70297,0.708449,0.693737
